LS/MIRALLE|10015|0|0|12/01/2009|ENRIQUE MIRALLES MESEGUER|PELAYO 5  1  1|
LS/CDSOLID|10134|0|0|12/01/2009|CLINICA DENTAL SOLIDARIA|BALMES 23 2|
LS/JRIBASS|10142|0|0|12/01/2009|JULIAN RIBAS SANZ|MAYOR 7 BAJO|
LS/ALBERIQ|10243|0|0|12/01/2009|MARIA ELENA SORIA ROMERO -ALBERIQUE-|SAN ANTONIO 46|
Z0000000063|10326|0|0|12/01/2009|CLINICA DENTAL DR. GARCIA MARTINEZ|GUILLEN DE CASTRO 69|
Z0000000063|10327|0|0|12/01/2009|CLINICA DENTAL DR. GARCIA MARTINEZ|GUILLEN DE CASTRO 69|
LS/PUZOL|10515|0|0|12/01/2009|CLINICA PUZOL S.C.|AVDA VICENTE ROS 24  BAJO|
Z0000000005|1052|0|0,12|12/01/2009|CLINICA DENTAL DR. SANCHEZ ACEDO (BENIFAYO)|MIGUEL HERNANDEZ 38|
Z0000000031|10539|0|0|12/01/2009|CLINICA DENTAL DR. JOSE ANTONIO HERRERO|G.V. FERNANDO EL CATOLICO 66 1º 1ª|
LS/APICOR|10584|0|0|12/01/2009|ALBERTO PICO RAMIREZ-C D SONRIURE|AVDA SANTA MARI DEL PUIG   69  BAJO  IZQ|
LS/JRIBAS|11027|0|0|12/01/2009|JULIAN RIBAS SANZ|PLAZA PAIS VALENCIANO 5 BAJO|
LS/APICO|11032|0|0|12/01/2009|ALBERTO PICO RAMIREZ-VALENCIA-|CHURAT Y SAURI 16 BAJO IZQ -ESQ PL PATRAIX-|
LS/TOOTHH|11069|0|0|12/01/2009|TOOTH HOUSE S.L.|AVDA DE BARBERA  85|
LS/MORENO|11115|0|0|12/01/2009|MORENO BLANCH C.B.|BUENA VISTA 15 BAJO|
LS/MORENO|11116|0|0|12/01/2009|MORENO BLANCH C.B.|BUENA VISTA 15 BAJO|
LS/MAYO|11117|0|0|12/01/2009|CLINICA DENTAL 1º DE MAYO 53, S.L.|1º DE MAYO 53 BAJO|
LS/AGALLARD|11160|0|0|12/01/2009|JOSE RAMON GALLARDO GALLEGO|RODRIGUEZ FORNOS 7 6 12|
LS/ACIMS|11164|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/ACIMS|11165|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/ACIMS|11167|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/AGALLARD|11172|0|0|12/01/2009|JOSE RAMON GALLARDO GALLEGO|RODRIGUEZ FORNOS 7 6 12|
LS/CONATOS|1118|0|0|12/01/2009|CENTRO ODONTOLOGICO GNATHOS S.L|PLAZA DE LA PAZ 12|
LS/ACIMS|11187|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/ACIMS|11188|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/ACIMS|11190|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/ACIMS|11193|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/ACIMS|11196|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/AGALLARD|11197|0|0|12/01/2009|JOSE RAMON GALLARDO GALLEGO|RODRIGUEZ FORNOS 7 6 12|
LS/ACIMS|11198|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/AGALLARD|11199|0|0|12/01/2009|JOSE RAMON GALLARDO GALLEGO|RODRIGUEZ FORNOS 7 6 12|
LS/ACIMS|11202|0|0|12/01/2009|CENTRO INVEST MEDICO SANITARIA|MARQUES DE BECCARIA 3 CAMPUS TEATINOS|
LS/PALANQ|11225|0,1|0|12/01/2009|HERMANAS PALANQUES ORTI, C.B.|PLAZA GENERALITAT 1 ENTLO A|
LS/GTATAY|11251|0|0|12/01/2009|GONZALO TATAY HUICI|PASEO GERMANIAS 88 1|
LS/SGARCIAM|11383|0|0|12/01/2009|SILVIA GARCIA MARI|AVDA BLASCO IBAÑEZ 134 9|
LS/LANTIDE|11421|0|0|12/01/2009|LANTIDENT, S.L.|PINTOR JACOMART 62  BAJO|
LS/CEMESA|11430|0|0|12/01/2009|CENTROS MEDICOS DE SALUD DENTAL S.L.|ALFAHUIR  6  BAJO|
LS/GASCON|11637|0|0|12/01/2009|CLINICA DENTAL DRES GASCON, S.L.|AVENIDA PRIMADO REIG  96  3  6|
LS/SORIA|11641|0|0|12/01/2009|BELINDA SORIA BORONAT|SAN VICENTE  2  1  1|
C3/LERM|11895|0|0|12/01/2009|ESTEFANIA GUISASOLA LERMA|GRAN VIA FERNANDO EL CATOLOLICO 61 3 5|
C3/CDAUGUST|11924|0|0|12/01/2009|CENTRO DENTAL DR AUGUSTO SANCHEZ|SAN JOSE 3 BAJO|
LS/IELIANA|11965|0|0|12/01/2009|LA ELIANA PREVENCION S.L|CALLE LA ELIANA 12 BAJO|
LS/BAUTIST|12061|0|0|12/01/2009|MARIA PILAR BAUTISTA JIMENEZ|DUQUE DE MANDAS 11 BAJO|
LS/OLTRAM|12165|0,34|0,49|12/01/2009|ANA OLTRA S.L.|LA PUNTA 38 BAJO|
LS/ODONTVA|12213|0|0|12/01/2009|INSTITUTO ODONTOLOGICO VALENCIA S.L.|AVDA HERMANOS BOU 35 BAJO|
